Qual é a industria da Mindera? 	A industria da Mindera é Software House & Internet.
Quantos colaboradores tem a Mindera? 	A Mindera tem entre 501-1000 colaboradores.
Qual o website da Mindera? 	O website da Mindera é www.mindera.com
O que é a Mindera? 	A Mindera é We craft software with people we love. Gaming, retail, e fintech são algumas das indústrias para as quais desenvolvemos aplicações web e mobile. O nosso expertise vai desde infraestrutura, frontend, backend a design UX/UI e produto. Trabalhamos com a tech stack mais recente e gostamos mesmo muito das pessoas com quem trabalhamos. Queres entrar para a nossa equipa? Sê tu próprio(a)!
Quais são as áreas de negócio da Mindera? 	As áreas de negócio da Mindera são Backoffice Applications, Highly Concurrent Software Systems, Large Scale Software Systems, Software Architecture e Web and Mobile Applications.
Qual a opinião da comunidade sobre a Mindera? 	Em 151 opiniões sobre a Mindera, 84% acha atrativa e gostava de vir a uma entrevista, 44% achou selectiva e participou num recrutamento, 12% acha que faz spam ou associa a empresa ao spam.
As ofertas de emprego na Mindera são boas? 	Em 151 opiniões sobre as ofertas de emprego na Mindera, 56% acha as ofertas de emprego boas.
Qual a opinião sobre as ofertas de emprego na Mindera? 	A opinião sobre as ofertas de emprego na Mindera são que 22% acham excelentes, 56% acham boas, 18% acham satisfatória, 2% acham péssimas.
A Mindera é uma empresa transparente? 	Em 151 opiniões sobre a transparencia na Mindera, 60% considera a empresa muito transparente, 35% considera transparente e 3% pouco transparente.
Qual a opinião sobre a transparencia da Mindera? 	Em 151 opiniões sobre a transparencia na Mindera, 60% considera a empresa muito transparente, 35% considera transparente e 3% pouco transparente.
A Mindera é uma boa empresa para trabalhar? 	Em 151 opiniões sobre trabalhar na Mindera, 40% acha boa ideia, 37% acha excelente ideia, 17% acha satisfatória ideia e 4% acha péssima ideia.
Qual é a taxa de recomendação de funcionários e candidatos sobre a Mindera? 	Em 108 reviews de funcionários e candidatos sobre a Mindera, 82% recomenda.
Em média qual é o número de horas trabalhadas por dia na Mindera? 	O número de horas trabalhadas em média por dia na Mindera são 07:45 horas.
Qual é a taxa de feedback das entrevistas sobre a Mindera? 	A taxa de feedback das entrevistas realizadas para a Mindera é de 62%.
Qual é o salário na Mindera? 	Com base nas reviews de funcionários, o salário médio bruto mensal na Mindera é entre 2,043€ e 2,243€. A média da industria é de 1,967€ a 2,167€.
Qual é a classificação de dificuldade das entrevistas para a Mindera? 	A classificação de dificuldade das entrevistas para a Mindera é de 2.7/5.0 considerando a escala de 0.0 sendo fácil e 5.0 dificil.
Quanto tempo de entrevista para a Mindera? 	Em média o tempo investido em entrevistas para a Mindera é de 02:19 horas.
Como é trabalhar na Mindera? 	Trabalhar na Mindera tem uma classificação geral de 3.0/5.0, com equilíbrio trabalho/vida pessoal a ser a melhor classificação. No entanto, salário é avaliado como a pior. Para saber em primeira mão como é trabalhar na Mindera, lê as reviews detalhadas por cargo, departamento e localização na secção de reviews. Escala: 5 (Excelente), 4 (Bom), 3 (Média), 2 (Fraco), 1 (Péssimo)
Quanto é o salário na Mindera? 	O salário médio bruto mensal para profissionais de tecnologia na Mindera está entre os 2,043€ e 2,243€. Para obteres informações sobre remunerações detalhadas visita a página de salários.
Qual é o horário de trabalho na Mindera? 	De acordo com 46 funcionários relataram o horário de trabalho na Mindera ser em média de 07:45h por dia.
A Mindera dá feedback das entrevistas de emprego? 	62% dos candidatos que participaram em entrevistas na Mindera dizem que receberam feedback mais tarde dos recrutadores.
Como são as entrevistas na Mindera? 	62 candidatos na Mindera consideraram em média a entrevista normal em termos de dificuldade atribuindo a pontuação agregada de 2.7/5.0. Escala: 5 (Muito Difícil ), 4 (Difícil), 3 (Média), 2 (Fácil), 1 (Muito Fácil)
